activity,worldpop_population,ghsl_population_2025,geometry
0.00704085489371743,5.539778903126717,6.9594285897910595,"{""type"": ""Polygon"", ""coordinates"": [[[-85.9570312356059, 10.833305969506771], [-85.91308590982504, 10.833305980516151], [-85.91308590982504, 10.876464974540252], [-85.9570312356059, 10.876464994800465], [-85.9570312356059, 10.833305969506771]]]}"
0.00186602674249272,3.394213270395994,0.0,"{""type"": ""Polygon"", ""coordinates"": [[[-85.91308590982504, 10.31491926369151], [-85.8691406064145, 10.31491930196422], [-85.8691406064145, 10.358151441156538], [-85.91308590982504, 10.358151397224217], [-85.91308590982504, 10.31491926369151]]]}"
0.0589645758150183,0.0,0.0,"{""type"": ""Polygon"", ""coordinates"": [[[-85.91308590982504, 10.271681266017158], [-85.8691406064145, 10.27168121561073], [-85.8691406064145, 10.31491930196422], [-85.91308590982504, 10.31491926369151], [-85.91308590982504, 10.271681266017158]]]}"
0.000174145561590861,43.05473976582289,3.830823142081499,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.487811909132978], [-85.78124999582845, 10.487811872947871], [-85.78124999582845, 10.531020033150895], [-85.82519532737066, 10.53102001070448], [-85.82519532737066, 10.487811909132978]]]}"
0.0181445601398221,1008.4038874842227,1574.4354427577928,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.401377520007275], [-85.78124999582845, 10.401377544980543], [-85.78124999582845, 10.444597759379393], [-85.82519532737066, 10.444597680614768], [-85.82519532737066, 10.401377520007275]]]}"
0.335460358903018,2046.6119468137622,2272.3386059887707,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.358151365704652], [-85.78124999582845, 10.358151424833425], [-85.78124999582845, 10.401377544980543], [-85.82519532737066, 10.401377520007275], [-85.82519532737066, 10.358151365704652]]]}"
0.334829131711461,1738.3298354297876,2022.6820894558914,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.314919327455513], [-85.78124999582845, 10.314919252255164], [-85.78124999582845, 10.358151424833425], [-85.82519532737066, 10.358151365704652], [-85.82519532737066, 10.314919327455513]]]}"
0.340661740409005,2631.8536553382874,2338.0918404543772,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.271681258956084], [-85.78124999582845, 10.271681222783918], [-85.78124999582845, 10.314919252255164], [-85.82519532737066, 10.314919327455513], [-85.82519532737066, 10.271681258956084]]]}"
0.286052580725201,708.900811009109,929.1252509374171,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.185187387682511], [-85.78124999582845, 10.185187436780872], [-85.78124999582845, 10.228437275876871], [-85.82519532737066, 10.228437270617833], [-85.82519532737066, 10.185187387682511]]]}"
0.214541078595923,979.4066178053617,2013.208920698613,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.141931720978636], [-85.78124999582845, 10.141931645785338], [-85.78124999582845, 10.185187436780872], [-85.82519532737066, 10.185187387682511], [-85.82519532737066, 10.141931720978636]]]}"
